"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-10","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","151.8","","","","1"
"2024-11","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","151.7","","","","1"
"2024-12","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","152.3","","","","1"
"2023-12","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","126.7","","","","1"
"2024-01","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","125.9","","","","1"
"2024-02","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","126.6","","","","1"
"2024-03","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","127.2","","","","1"
"2024-04","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","127.2","","","","1"
"2024-05","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","127.7","","","","1"
"2024-06","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","126.8","","","","1"
"2024-07","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","126.5","","","","1"
"2024-08","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","126.7","","","","1"
"2024-09","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","126.7","","","","1"
"2024-10","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","126.8","","","","1"
"2024-11","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","127.9","","","","1"
"2024-12","Canada","2016A000011124","Recreation, education and reading","2002=100","17","units","0","v41690921","1.8","128.7","","","","1"
"2023-12","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","193.6","","","","1"
"2024-01","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","194.2","","","","1"
"2024-02","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","194.2","","","","1"
"2024-03","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","194.7","","","","1"
"2024-04","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","195.5","","","","1"
"2024-05","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","195.8","","","","1"
"2024-06","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","196.2","","","","1"
